veg,max,fiss,r,k,leap,perm,score
0.4,0.0,50,0.04,10,15,30,1089
0.4,0.0,100,0.02,10,0,10,1674
0.4,0.0,100,0.02,10,0,20,1674
0.4,0.0,100,0.02,10,0,30,1674
0.4,0.0,100,0.02,10,5,10,1674
0.4,0.0,100,0.02,10,5,20,1674
0.4,0.0,100,0.02,10,5,30,1674
0.4,0.0,100,0.02,10,15,10,1674
0.4,0.0,100,0.02,10,15,20,1674
0.4,0.0,100,0.02,10,15,30,1674
0.4,0.0,100,0.02,50,0,10,611
0.4,0.0,100,0.02,50,0,20,690
0.4,0.0,100,0.02,50,0,30,765
0.4,0.0,100,0.02,50,5,10,676
0.4,0.0,100,0.02,50,5,20,622
0.4,0.0,100,0.02,50,5,30,709
0.4,0.0,100,0.02,50,15,10,1219
0.4,0.0,100,0.02,50,15,20,1101
0.4,0.0,100,0.02,50,15,30,979
0.4,0.0,100,0.03,10,0,10,1674
0.4,0.0,100,0.03,10,0,20,1674
0.4,0.0,100,0.03,10,0,30,1674
0.4,0.0,100,0.03,10,5,10,1674
0.4,0.0,100,0.03,10,5,20,1674
0.4,0.0,100,0.03,10,5,30,1674
0.4,0.0,100,0.03,10,15,10,1674
0.4,0.0,100,0.03,10,15,20,1674
0.4,0.0,100,0.03,10,15,30,1674
0.4,0.0,100,0.03,50,0,10,1083
0.4,0.0,100,0.03,50,0,20,752
0.4,0.0,100,0.03,50,0,30,677
0.4,0.0,100,0.03,50,5,10,1120
0.4,0.0,100,0.03,50,5,20,887
0.4,0.0,100,0.03,50,5,30,575
0.4,0.0,100,0.03,50,15,10,1547
0.4,0.0,100,0.03,50,15,20,1479
0.4,0.0,100,0.03,50,15,30,1420
0.4,0.0,100,0.04,10,0,10,1674
0.4,0.0,100,0.04,10,0,20,1674
0.4,0.0,100,0.04,10,0,30,1674
0.4,0.0,100,0.04,10,5,10,1674
0.4,0.0,100,0.04,10,5,20,1674
0.4,0.0,100,0.04,10,5,30,1674
0.4,0.0,100,0.04,10,15,10,1674
0.4,0.0,100,0.04,10,15,20,1674
0.4,0.0,100,0.04,10,15,30,1674
0.4,0.0,100,0.04,50,0,10,1369
0.4,0.0,100,0.04,50,0,20,893
0.4,0.0,100,0.04,50,0,30,696
0.4,0.0,100,0.04,50,5,10,1415
0.4,0.0,100,0.04,50,5,20,1121
0.4,0.0,100,0.04,50,5,30,965
0.4,0.0,100,0.04,50,15,10,1742
0.4,0.0,100,0.04,50,15,20,1674
0.4,0.0,100,0.04,50,15,30,1667
0.4,0.0,150,0.02,10,0,10,1674
0.4,0.0,150,0.02,10,0,20,1674
0.4,0.0,150,0.02,10,0,30,1674
0.4,0.0,150,0.02,10,5,10,1674
0.4,0.0,150,0.02,10,5,20,1674
0.4,0.0,150,0.02,10,5,30,1674
0.4,0.0,150,0.02,10,15,10,1674
0.4,0.0,150,0.02,10,15,20,1674
0.4,0.0,150,0.02,10,15,30,1674
0.4,0.0,150,0.02,50,0,10,489
0.4,0.0,150,0.02,50,0,20,822
0.4,0.0,150,0.02,50,0,30,866
0.4,0.0,150,0.02,50,5,10,500
0.4,0.0,150,0.02,50,5,20,711
0.4,0.0,150,0.02,50,5,30,833
0.4,0.0,150,0.02,50,15,10,842
0.4,0.0,150,0.02,50,15,20,765
0.4,0.0,150,0.02,50,15,30,754
0.4,0.0,150,0.02,100,0,10,924
0.4,0.0,150,0.02,100,0,20,648
0.4,0.0,150,0.02,100,0,30,675
0.4,0.0,150,0.02,100,5,10,1104
